N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
1000,1,0.000239,0.000115,2.083140,2.083140,168
1000,1,0.000248,0.000089,2.785741,2.785741,168
1000,1,0.000222,0.000133,1.660027,1.660027,168
1000,1,0.000343,0.000125,2.748628,2.748628,168
1000,1,0.000325,0.000170,1.917681,1.917681,168
1000,1,0.000272,0.000135,2.013675,2.013675,168
1000,1,0.000258,0.000088,2.919130,2.919130,168
1000,1,0.000238,0.000104,2.299873,2.299873,168
1000,1,0.000342,0.000170,2.014061,2.014061,168
1000,1,0.000243,0.000138,1.765462,1.765462,168
1000,1,0.000311,0.000143,2.178271,2.178271,168
1000,1,0.000267,0.000067,3.983905,3.983905,168
1000,1,0.000308,0.000144,2.132757,2.132757,168
1000,1,0.000229,0.000126,1.818425,1.818425,168
1000,1,0.000221,0.000133,1.657206,1.657206,168
1000,1,0.000249,0.000130,1.912073,1.912073,168
1000,1,0.000257,0.000158,1.626563,1.626563,168
1000,1,0.000278,0.000151,1.837280,1.837280,168
1000,1,0.000266,0.000115,2.321256,2.321256,168
1000,1,0.000261,0.000146,1.780542,1.780542,168
1000,1,0.000225,0.000161,1.394365,1.394365,168
1000,1,0.000373,0.000127,2.939318,2.939318,168
1000,1,0.000248,0.000110,2.259319,2.259319,168
1000,1,0.000233,0.000145,1.606316,1.606316,168
1000,1,0.000415,0.000087,4.768413,4.768413,168
1000,1,0.000284,0.000163,1.741620,1.741620,168
1000,1,0.000269,0.000105,2.569878,2.569878,168
1000,1,0.000231,0.000162,1.424687,1.424687,168
1000,1,0.000294,0.000172,1.704703,1.704703,168
1000,1,0.000217,0.000112,1.948681,1.948681,168
1000,1,0.000246,0.000147,1.675554,1.675554,168
1000,1,0.000221,0.000147,1.503649,1.503649,168
1000,1,0.000241,0.000087,2.783411,2.783411,168
1000,1,0.000209,0.000127,1.654733,1.654733,168
1000,1,0.000227,0.000143,1.585937,1.585937,168
1000,1,0.000252,0.000160,1.571137,1.571137,168
1000,1,0.000282,0.000183,1.536828,1.536828,168
1000,1,0.000282,0.000148,1.909543,1.909543,168
1000,1,0.000257,0.000130,1.984244,1.984244,168
1000,1,0.000211,0.000103,2.045729,2.045729,168
1000,1,0.000223,0.000090,2.472935,2.472935,168
1000,1,0.000248,0.000090,2.755490,2.755490,168
1000,1,0.000211,0.000099,2.129790,2.129790,168
1000,1,0.000254,0.000101,2.512283,2.512283,168
1000,1,0.000278,0.000107,2.591158,2.591158,168
1000,1,0.000292,0.000219,1.338220,1.338220,168
1000,1,0.000269,0.000149,1.808134,1.808134,168
1000,1,0.000332,0.000157,2.112525,2.112525,168
1000,1,0.000373,0.000167,2.229339,2.229339,168
1000,1,0.000329,0.000124,2.652913,2.652913,168
1000,2,0.000293,0.000160,1.825253,0.912626,168
1000,2,0.000212,0.000167,1.265328,0.632664,168
1000,2,0.000250,0.000155,1.610355,0.805177,168
1000,2,0.000260,0.000147,1.765057,0.882528,168
1000,2,0.000248,0.000187,1.329804,0.664902,168
1000,2,0.000224,0.000086,2.605900,1.302950,168
1000,2,0.000243,0.000127,1.918727,0.959364,168
1000,2,0.000251,0.000160,1.569583,0.784792,168
1000,2,0.000184,0.000170,1.083479,0.541740,168
1000,2,0.000219,0.000175,1.251088,0.625544,168
1000,2,0.000238,0.000093,2.550526,1.275263,168
1000,2,0.000246,0.000195,1.261636,0.630818,168
1000,2,0.000309,0.000124,2.499118,1.249559,168
1000,2,0.000254,0.000155,1.636098,0.818049,168
1000,2,0.000211,0.000204,1.034402,0.517201,168
1000,2,0.000255,0.000142,1.797196,0.898598,168
1000,2,0.000285,0.000192,1.482157,0.741078,168
1000,2,0.000273,0.000171,1.591671,0.795836,168
1000,2,0.000239,0.000164,1.456930,0.728465,168
1000,2,0.000283,0.000084,3.389273,1.694636,168
1000,2,0.000225,0.000169,1.329752,0.664876,168
1000,2,0.000262,0.000124,2.116472,1.058236,168
1000,2,0.000250,0.000204,1.225060,0.612530,168
1000,2,0.000215,0.000225,0.957049,0.478524,168
1000,2,0.000272,0.000112,2.419448,1.209724,168
1000,2,0.000303,0.000210,1.444850,0.722425,168
1000,2,0.000257,0.000179,1.434930,0.717465,168
1000,2,0.000232,0.000159,1.459826,0.729913,168
1000,2,0.000290,0.000126,2.303549,1.151774,168
1000,2,0.000252,0.000131,1.918593,0.959297,168
1000,2,0.000206,0.000125,1.651046,0.825523,168
1000,2,0.000237,0.000126,1.887567,0.943783,168
1000,2,0.000309,0.000176,1.759041,0.879520,168
1000,2,0.000293,0.000163,1.796275,0.898137,168
1000,2,0.000254,0.000177,1.441160,0.720580,168
1000,2,0.000238,0.000141,1.684356,0.842178,168
1000,2,0.000210,0.000134,1.562073,0.781036,168
